,index,Тип объекта,Площадь участка,Площадь общая,Площадь жилая,Уровней в доме,Год постройки,Процент готовности,Материал стен,Материал крыши,Отопление,Канализация,Электроснабжение,Вода,Телефон,Условия продажи,Номер договора,Область,Район,Населенный пункт,Номер дома,Сельсовет,Координаты,Цена,Площадь кухни,Газ,Баня,Гараж,Статус земли,Сад,Хозпостройки,Возможен торг,Рядом лес,Водоем,Ландшафтный дизайн,Улица,Ширина застройки,Длина застройки,Теплица,Мебель,Направление,Ремонт,Камин,Строительные материалы,Район города,Беседка,Микрорайон,Новостройка,Бассейн,Элитный коттедж,Пруд на участке,Аукцион
0,3173756,['Дача'],"['4.54', 'соток']","['81', 'м²']","['70', 'м²']",['1'],['2023'],,"['Блок', 'газосиликатный']",,"['На', 'газу']",['Местная'],,['Скважина'],,"['Чистая', 'продажа']",['7518'],"['Брестская', 'область']","['Брестский', 'район']","['Мухавецкий', 'с/с']",,"['Мухавецкий', 'с/с']","['52.065923,', '23.821935']",341 775 р.,"['40', 'м²']",['Есть'],['Есть'],['Есть'],['Частная'],,,,,,1.0,,,,,,,,,,,,,,,,,
0,3024270,['Дача'],"['4', 'сотки']","['74.8', 'м²']","['52', 'м²']",['2'],['1988'],['100'],"['Брус', 'профилированный']",['Шифер'],['Печное'],['Местная'],['Есть'],"['Рядом', 'водопровод']",,"['Чистая', 'продажа']","['118/1', 'от', '26.04.2023']","['Минская', 'область']","['Молодечненский', 'район']","['с/т', 'ФИЗКУЛЬТУРНИК']",,"['Олехновичский', 'с/с']","['54.110747,', '27.076678']",13 020 р.,"['9.1', 'м²']",['Нет'],,,['Частная'],,,,1.0,,,,,,,['Есть'],,,,,,,,,,,,
0,3272112,['Дача'],"['5.96', 'соток']","['35', 'м²']",,['2'],['2015'],['50'],['Кирпичный'],['Шифер'],['Печное'],['Местная'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['468/2', 'от', '04.03.2024']","['Минская', 'область']","['Столбцовский', 'район']","['с/т', 'Александрово']",,"['Заямновский', 'с/с']","['53.523258,', '26.865217']",20 832 р.,,,,,['Частная'],,,['Да'],,,,,"['4.5', 'м']","['5', 'м']",,,,,,,,,,,,,,
0,2933142,['Дача'],"['11.64', 'соток']","['118', 'м²']","['48', 'м²']",['2'],['2010'],,"['Дерево,', 'обложено', 'кирпичом']",,['Нет'],['Нет'],,['Скважина'],,"['Чистая', 'продажа']",['6619'],"['Брестская', 'область']","['Брестский', 'район']","['Клейниковский', 'с/с']",,"['Клейниковский', 'с/с']","['52.163944,', '23.607092']",94 395 р.,"['9.4', 'м²']",['Рядом'],,['Есть'],['Частная'],,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
0,3298699,['Дача'],"['9', 'соток']","['70', 'м²']",,['1'],,,,,,['Есть'],['Есть'],['Холодная'],,"['Чистая', 'продажа']",,"['Минская', 'область']","['Молодечненский', 'район']","['с/т', 'БУСЛИК']",['4'],"['Хожовский', 'с/с']","['54.204267,', '26.894829']",,,,,,['Частная'],,1.0,,1.0,1.0,1.0,['Гай'],,,1.0,['Есть'],,,['Да'],,,,,,,,,
0,3073088,['Дача'],"['25', 'соток']",,,['1'],['2023'],['75'],['Дерево'],['Шифер'],,['Местная'],['Есть'],['Скважина'],,"['Подбираются', 'варианты']",,"['Витебская', 'область']","['Браславский', 'район']","['д.', 'Яковичи']",,"['Опсовский', 'с/с']","['55.54648,', '26.81446']",49 476 р.,,,,,['Частная'],,,,1.0,1.0,1.0,,"['7', 'м']","['20', 'м']",,,,"['Не', 'достроен']",,,,,,,,,,
0,3154839,['Дача'],"['10', 'соток']","['65', 'м²']",,['1'],['2013'],['100'],"['Дерево,', 'обложено', 'кирпичом']",['Шифер'],['Печное'],['Местная'],['Есть'],['Скважина'],,"['Чистая', 'продажа']",,"['Витебская', 'область']","['Оршанский', 'район']","['с/т', 'Берестеново']",,"['Андреевщинский', 'с/с']","['54.540639,', '30.557147']",52 080 р.,,,['Есть'],,['Частная'],,1.0,,1.0,1.0,1.0,,,,1.0,['Есть'],,"['Отделка', 'деревом']",,,,,,,1.0,,,
0,3159297,['Дача'],"['5', 'соток']","['58', 'м²']",,['2'],['1988'],,['Кирпичный'],['Шифер'],['Печное'],['Местная'],['Есть'],['Скважина'],,"['Чистая', 'продажа']","['399/9', 'от', '03.10.2023']","['Брестская', 'область']","['Брестский', 'район']","['Чернавчицкий', 'с/с']",,"['Чернавчицкий', 'с/с']","['52.219275,', '23.71264']",55 010 р.,,,,,['Частная'],,,,,,,,,,,,,,,,,,,,,,,
0,3230442,['Дача'],"['25', 'соток']","['50', 'м²']","['40', 'м²']",['1'],,['100'],"['Брус', 'профилированный']",['Шифер'],['Нет'],['Нет'],['Рядом'],['Рядом'],,"['Чистая', 'продажа']","['13/2', 'от', '15.01.2024']","['Минская', 'область']","['Слуцкий', 'район']","['д.', 'Степково']",,"['Гресский', 'с/с']","['53.191333,', '27.469498']",9 602 р.,"['10', 'м²']",['Нет'],,,['Частная'],1.0,,,,,1.0,"['Центральная', 'ул.']",,,,,,,,,,,,,,,,
0,3151840,['Дача'],"['5.65', 'соток']",,,['2'],,,['Дерево'],['Шифер'],['Печное'],,,,,"['Чистая', 'продажа']","['116/2', 'от', '27.09.2023']","['Минская', 'область']","['Смолевичский', 'район']","['с/т', 'Плиса']",,"['Плисский', 'с/с']","['54.050808,', '28.26108']",30 272 р.,,,,,['Частная'],,,,1.0,1.0,,,"['6', 'м']","['8.5', 'м']",,,"['Московское,', '41', 'км', 'от', 'МКАД']",,,,,,,,,,,
